Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
100,Morgana,Support,48.29%,5.97%,0.92%,3.36,2.73,6.02,13.95,7,13454,17778,2337,30.7,0.19,0.38,10298,7,2
101,Nami,Support,50.91%,4.68%,0.04%,4.11,1.63,4.88,15.07,5,8670,15938,12107,13.6,0.06,0.09,9587,9,1
102,Nasus,Top,52.50%,6.17%,1.59%,2.45,5.44,5.32,5.52,7,18507,31947,1307,180.9,1.23,2.87,11728,3,1
103,Nautilus,Jungle,45.30%,0.33%,0.05%,3.93,3.31,5.14,10.46,4,10670,25042,5768,41.6,2.38,36.38,9898,47,2
104,Nautilus,Support,48.96%,1.78%,0.05%,3.7,2.04,5.61,13.16,4,9534,20836,3506,48.5,0.16,0.39,9480,26,1
105,Nautilus,Top,46.62%,0.53%,0.05%,3.35,3.43,5.08,9.45,4,14613,22936,2110,152.5,0.5,1.57,10537,50,2
106,Nidalee,Jungle,47.53%,1.33%,0.03%,2.04,6.57,5.84,7.23,7,16239,26583,12697,40.6,6.66,48.85,11292,30,8
107,Nocturne,Jungle,51.66%,2.48%,0.12%,2.67,7.43,5.84,6.72,9,15769,28274,9597,55.7,4.78,52.31,12014,15,2
108,Nunu,Jungle,47.82%,0.60%,0.02%,1.92,2.86,4.96,10.4,5,8685,35611,15482,41.4,5.08,40.29,10325,44,1
109,Olaf,Jungle,46.84%,0.93%,0.07%,2.26,5.82,5.7,7.94,7,14860,35001,8513,52.4,4.57,47.29,11346,33,0
110,Olaf,Top,45.20%,0.98%,0.07%,2.34,5.99,6.4,5.9,8,18747,28715,3598,158.8,1.25,2.66,11301,47,2
