Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
94,Nami,Support,51.84%,3.18%,0.04%,3.6,1.79,5.15,15.33,4,9441,16636,12148,15.8,0.07,0.11,9799,9,1
95,Nasus,Top,53.14%,7.20%,1.65%,2.43,5.76,5.5,5.77,7,19137,32135,1357,170.2,1.35,2.92,11736,4,2
96,Nautilus,Support,51.24%,2.15%,0.07%,3.76,2.27,5.77,13.43,4,10098,21856,3416,48.9,0.18,0.32,9696,22,1
97,Nidalee,Jungle,47.79%,1.14%,0.03%,1.96,6.55,6.46,7.22,8,16152,26357,11654,41.4,5.6,42.08,11164,35,11
98,Nocturne,Jungle,51.61%,2.11%,0.12%,2.61,7.71,6.29,6.75,8,16149,28798,9277,57.5,4.96,48.24,12148,14,5
99,Olaf,Jungle,49.83%,1.11%,0.10%,2.33,5.91,6.04,7.98,9,14878,34731,8119,53.1,4.82,41.43,11249,24,15
100,Olaf,Top,46.62%,1.22%,0.10%,2.37,6.18,6.66,5.98,8,18914,29414,3498,147.5,1.35,2.57,11297,42,2
101,Orianna,Middle,49.54%,4.80%,0.37%,2.63,6.39,6.09,8.75,8,20062,16422,1614,162.4,1.48,4.77,11709,22,2
102,Ornn,Jungle,39.42%,1.96%,2.20%,1.3,3.49,6.22,9.43,6,12074,28675,5939,47.3,3.44,41.56,10353,42,0
103,Ornn,Support,39.47%,1.38%,2.20%,1.25,2.03,6.94,11.3,3,10165,23965,3160,51.8,0.4,1.27,9584,29,0
104,Ornn,Top,38.38%,4.14%,2.20%,1.24,3.37,6.63,7.84,6,15131,25715,2186,136.6,0.66,1.95,10182,47,0
105,Pantheon,Jungle,48.48%,1.35%,1.02%,3.47,7.66,6.56,7.59,8,16207,25080,5866,47.2,2.48,30.34,11175,37,6
106,Pantheon,Top,51.20%,3.56%,1.02%,2.87,8.21,6.5,6.23,10,20705,22256,2090,129.6,0.63,1.55,11397,29,0
107,Poppy,Jungle,51.07%,0.63%,0.03%,3.29,5.28,5.26,9.49,7,14204,27929,5902,46.0,4.07,36.15,10906,32,6
108,Poppy,Top,46.35%,1.37%,0.03%,2.48,4.55,5.07,7.39,5,16440,25430,2199,138.7,0.9,1.82,10613,45,1
109,Quinn,ADC,50.14%,0.59%,0.10%,4.47,8.66,7.2,7.85,9,22285,21918,3677,157.4,1.2,2.84,12569,16,2
110,Quinn,Top,52.16%,1.14%,0.10%,3.85,8.18,7.22,6.36,9,22517,21049,2095,151.8,1.02,2.08,11988,33,7
111,Rakan,Support,51.43%,4.85%,0.32%,2.33,1.76,5.54,15.28,5,7615,17936,5912,16.8,0.08,0.17,10069,10,5
112,Rammus,Jungle,51.60%,2.39%,0.19%,2.12,4.7,5.99,11.4,6,13715,30439,7058,44.7,3.67,41.21,10921,25,5
113,Rek'Sai,Jungle,47.17%,0.93%,0.04%,1.87,6.42,6.31,8.01,6,13549,31340,10335,37.7,5.24,44.46,11075,34,10
114,Renekton,Top,49.83%,4.20%,0.52%,2.42,5.84,5.82,6.46,8,18083,32471,5905,169.8,1.85,3.04,11607,9,3
115,Rengar,Jungle,44.74%,1.89%,0.12%,2.24,7.5,7.53,6.19,9,16346,30326,9618,48.3,6.05,46.58,11709,33,12
116,Riven,Top,49.41%,5.21%,0.69%,3.24,7.27,6.42,5.44,10,17767,23550,2697,158.0,2.12,4.16,11743,22,2
117,Rumble,Top,50.28%,1.54%,0.16%,2.46,6.31,6.43,7.47,9,23427,23340,1844,155.4,1.13,2.71,11492,28,0
118,Ryze,Middle,39.84%,0.86%,0.05%,2.38,5.97,6.6,6.29,7,18700,21147,3069,148.7,1.35,4.36,11080,41,7
119,Sejuani,Jungle,52.96%,2.56%,0.18%,2.56,4.71,5.05,11.62,7,12804,30291,6597,44.6,3.75,41.08,10942,19,3
120,Shaco,Jungle,48.68%,2.60%,0.34%,2.77,6.66,6.13,7.13,8,14071,24995,6426,48.6,5.22,35.17,11408,36,0
121,Shen,Jungle,49.65%,0.54%,0.07%,3.94,4.49,5.32,11.22,5,11336,29474,5979,48.3,3.13,36.22,10824,39,7
122,Shen,Support,48.98%,0.82%,0.07%,3.72,2.9,5.67,13.94,5,8937,23285,3224,46.5,0.3,0.95,9797,23,1
123,Shen,Top,48.48%,2.52%,0.07%,2.63,4.38,5.01,10.36,6,13827,25591,2212,134.0,0.71,1.76,10570,39,3
124,Shyvana,Jungle,54.31%,2.76%,0.08%,2.61,6.77,5.68,7.21,9,17349,32739,7630,59.5,6.77,49.97,12085,4,0
125,Singed,Top,55.07%,0.95%,0.04%,2.21,5.17,6.58,8.27,8,22446,30639,2713,174.9,1.18,1.28,11683,8,6
