Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
45,Gragas,Jungle,50.03%,9.61%,0.64%,5.02,3.78,4.18,9.56,6,12089,29361,12647,35.4,4.92,50.63,10165,10,0
46,Gragas,Top,49.48%,1.52%,0.64%,6.36,4.16,4.54,7.65,7,16325,25563,8424,157.4,1.04,2.86,10465,39,0
47,Graves,Jungle,47.22%,1.70%,0.05%,5.79,6.03,5.38,6.38,7,16884,23063,7025,62.4,7.58,56.68,11575,24,10
48,Hecarim,Jungle,49.33%,2.29%,0.10%,4.63,6.09,5.01,8.3,7,14255,33312,11612,43.3,4.88,55.02,11181,16,6
49,Heimerdinger,Middle,52.07%,0.49%,0.04%,5.73,5.48,5.61,6.72,6,24707,16091,1697,175.1,0.79,2.67,11456,35,5
50,Heimerdinger,Top,51.14%,0.89%,0.04%,5.04,4.87,5.74,5.64,7,24150,16282,1592,184.3,0.71,1.62,11432,41,1
51,Illaoi,Top,50.35%,1.15%,0.15%,4.81,4.97,5.9,4.65,6,22635,29433,6238,202.1,0.72,1.35,11692,20,0
52,Irelia,Top,50.29%,3.48%,0.25%,4.98,6.32,5.51,5.09,7,16985,26762,7096,185.7,0.8,1.71,11465,19,3
53,Ivern,Jungle,52.10%,0.92%,0.05%,5.29,2.08,3.81,12.21,3,7406,14850,8186,16.4,6.36,51.54,9571,42,1
54,Janna,Support,56.35%,14.36%,6.38%,6.73,0.75,3.76,14.39,3,3887,13514,7202,11.7,0.03,0.05,9456,1,0
55,Jarvan IV,Jungle,52.24%,8.99%,0.76%,4.63,5.16,4.98,11.03,7,12847,26634,7062,41.1,4.36,48.45,10756,5,1
56,Jarvan IV,Top,52.02%,4.03%,0.76%,5.3,4.99,5.06,8.93,7,15940,23225,2090,173.8,1.19,3.06,11126,10,2
57,Jax,Jungle,51.26%,2.42%,0.64%,5.99,6.19,5.35,5.88,8,13721,26124,7430,50.3,4.94,50.82,11342,27,8
58,Jax,Top,50.58%,5.06%,0.64%,5.11,5.58,5.56,4.28,7,16191,23953,2186,178.8,1.72,3.58,11401,24,1
59,Jayce,Middle,51.70%,1.52%,0.79%,7.43,7.29,5.28,6.39,7,21765,18755,1825,175.6,1.69,5.84,11782,21,1
60,Jayce,Top,51.24%,4.22%,0.79%,5.85,6.06,5.54,5.94,7,20895,19873,1777,183.5,1.25,3.43,11610,12,1
61,Jhin,ADC,49.01%,8.74%,0.12%,7.76,6.56,5.1,8.15,8,21359,16837,4337,188.9,0.99,4.5,12099,11,4
62,Jinx,ADC,51.37%,7.49%,0.04%,5.66,6.72,5.44,7.11,8,21234,17723,3725,198.8,1.67,7.71,12454,9,0
63,Kalista,ADC,49.97%,6.52%,0.37%,3.72,7.12,5.54,6.3,8,19047,19582,3440,188.8,1.58,6.66,12086,13,1
64,Karma,Middle,43.68%,0.83%,0.04%,7.63,3.99,4.65,8.74,6,16167,15296,2632,160.1,0.82,3.13,10347,45,1
65,Karma,Support,44.75%,3.67%,0.04%,5.64,1.62,4.89,12.49,5,9068,14143,2346,22.9,0.17,0.35,9165,22,1
66,Karthus,Middle,52.72%,0.92%,0.02%,3.74,7.2,6.46,8.41,8,29184,21445,4798,189.1,1.97,9.89,12478,2,4
67,Kassadin,Middle,51.50%,5.09%,2.50%,4.28,7.11,4.69,5.91,8,19982,21952,3684,167.9,1.0,3.42,11323,4,2
68,Katarina,Middle,52.57%,4.13%,1.90%,6.11,9.41,6.48,5.63,10,21574,20927,3899,160.9,1.5,3.96,11758,3,1
69,Kayle,Middle,54.96%,0.44%,0.12%,6.74,5.69,5.13,6.63,8,18030,21921,7796,193.2,2.81,8.26,11996,25,16
70,Kayle,Top,53.56%,1.48%,0.12%,5.22,4.45,5.22,6.38,6,16470,21232,7445,188.8,1.79,4.64,11562,28,4
71,Kayn,Jungle,49.69%,9.60%,3.37%,3.97,6.77,5.84,6.89,9,16430,31119,11830,45.8,6.84,56.47,11380,2,1
72,Kennen,Middle,50.28%,0.38%,0.12%,6.25,6.69,5.46,6.58,6,20705,18553,1801,163.5,0.6,1.94,11168,41,4
73,Kennen,Top,52.30%,1.76%,0.12%,3.9,5.32,5.23,6.18,6,20066,18672,1853,177.9,0.57,1.67,11199,31,4
74,Kha'Zix,Jungle,51.34%,6.63%,0.52%,5.81,7.62,5.2,5.97,8,16404,27795,10871,37.8,5.86,50.28,11361,7,0
75,Kindred,Jungle,51.40%,0.93%,0.02%,3.62,6.36,5.96,6.79,7,18124,23799,10749,44.5,6.75,45.14,11159,31,13
76,Kled,Top,51.42%,2.07%,0.27%,5.61,5.9,5.07,7.19,8,17799,31548,1686,165.5,1.21,2.53,11154,16,6
77,Kog'Maw,ADC,51.50%,6.24%,0.93%,3.81,6.86,5.65,6.64,9,24977,18808,3872,190.9,1.21,7.18,12270,5,0
78,LeBlanc,Middle,47.56%,3.01%,1.22%,4.65,7.29,5.03,5.84,8,19206,18697,4115,147.4,1.19,3.53,10915,38,10
79,Lee Sin,Jungle,47.42%,12.83%,1.34%,10.04,5.69,5.49,8.12,8,12198,27755,6896,33.2,4.91,46.4,10610,11,9
80,Leona,Support,51.46%,4.48%,0.15%,4.81,2.0,5.27,13.28,4,7361,19793,3186,43.6,0.06,0.1,9124,17,4
81,Lissandra,Middle,50.27%,1.05%,0.02%,3.38,5.67,5.67,8.04,7,19703,20145,3326,187.7,1.41,4.45,11677,32,3
82,Lissandra,Top,48.45%,0.43%,0.02%,4.42,4.4,5.47,7.18,8,18552,19814,3273,191.0,1.0,2.7,11214,45,1
83,Lucian,ADC,47.18%,7.98%,0.53%,7.87,6.61,5.31,6.71,10,20611,20243,3407,196.0,1.36,5.81,12263,12,1
